timestamp_s,foot_ax,foot_ay,foot_az,foot_gx,foot_gy,foot_gz,foot_roll_deg,foot_pitch_deg,foot_yaw_deg,shank_ax,shank_ay,shank_az,shank_gx,shank_gy,shank_gz,shank_roll_deg,shank_pitch_deg,shank_yaw_deg,ankle_encoder_deg,toe_fsr_v,heel_fsr_v
3.5829999944780866e-06,8.109375,-4.1796875,-3.61328125,0.0,-0.001953125,0.0,-130.60645428967456,-55.57349880216063,136.10217172918516,8.953125,-0.29296875,-3.8359375,0.005859375,0.0,-0.001953125,-176.20027054706347,-66.48177427591091,176.51348686059336,170.771484375,0.00037501144444105353,0.0
0.047768910999991476,8.109375,-4.1796875,-3.61328125,0.0,-0.001953125,0.0,-130.60645428967456,-55.57349880216063,136.10217172918516,8.953125,-0.29296875,-3.8359375,0.005859375,0.0,-0.001953125,-176.20027054706347,-66.48177427591091,176.51348686059336,170.771484375,0.00037501144444105353,0.000250007629627369
0.06558376399999588,8.07421875,-4.1796875,-3.61328125,-0.001953125,-0.001953125,-0.001953125,-130.7946378092188,-55.546644287314294,136.2233772159513,8.953125,-0.29296875,-3.875,0.001953125,-0.001953125,0.001953125,-176.18564667117323,-66.48164697211945,176.5039137580205,170.771484375,0.000250007629627369,0.000250007629627369
0.08735318000000802,8.07421875,-4.1796875,-3.61328125,-0.001953125,-0.001953125,-0.001953125,-130.7946378092188,-55.546644287314294,136.2233772159513,8.953125,-0.33203125,-3.875,0.001953125,-0.001953125,0.001953125,-176.18564667117323,-66.48164697211945,176.5039137580205,170.771484375,0.0001250038148136845,0.000250007629627369
0.10086317200000394,8.07421875,-4.1796875,-3.61328125,-0.001953125,-0.001953125,-0.001953125,-130.7946378092188,-55.546644287314294,136.2233772159513,8.953125,-0.33203125,-3.875,0.001953125,-0.001953125,0.001953125,-176.18564667117323,-66.48164697211945,176.5039137580205,170.771484375,0.0001250038148136845,0.00037501144444105353
0.10642560400000889,8.07421875,-4.1796875,-3.61328125,-0.001953125,-0.001953125,-0.001953125,-130.7946378092188,-55.546644287314294,136.2233772159513,8.953125,-0.33203125,-3.875,0.001953125,-0.001953125,0.001953125,-176.18564667117323,-66.48164697211945,176.5039137580205,170.771484375,0.0001250038148136845,0.00037501144444105353
0.11136520100001235,8.07421875,-4.1796875,-3.61328125,-0.001953125,0.0,0.001953125,-130.800284704447,-55.55825053457908,136.22332754953004,8.953125,-0.29296875,-3.8359375,0.0,0.001953125,-0.00390625,-176.18752848419265,-66.47660562260828,176.50576762538154,170.771484375,0.0001250038148136845,0.000250007629627369
0.1399023980000038,8.07421875,-4.1796875,-3.61328125,-0.001953125,0.0,0.001953125,-130.800284704447,-55.55825053457908,136.22332754953004,8.953125,-0.29296875,-3.8359375,0.0,0.001953125,-0.00390625,-176.18752848419265,-66.47660562260828,176.50576762538154,170.771484375,0.00037501144444105353,0.000250007629627369
0.14514026099999455,8.109375,-4.1796875,-3.61328125,-0.001953125,0.0,0.001953125,-130.800284704447,-55.55825053457908,136.22332754953004,8.953125,-0.29296875,-3.8359375,0.0,0.001953125,-0.00390625,-176.18752848419265,-66.47660562260828,176.50576762538154,170.771484375,0.00037501144444105353,0.0001250038148136845
0.153828572000009,8.109375,-4.1796875,-3.61328125,-0.001953125,0.0,0.001953125,-130.800284704447,-55.55825053457908,136.22332754953004,8.953125,-0.29296875,-3.875,0.0,0.001953125,-0.00390625,-176.18752848419265,-66.47660562260828,176.50576762538154,170.771484375,0.000250007629627369,0.0001250038148136845
