stance_pct,R_avg,L_avg,R_std,L_std
0,0.0785464759970974,0.108757017278733,0.186916902397537,0.0618635558365295
1,0.0725899320257272,0.111610067215203,0.225540326395575,0.0621817205570181
2,0.841394491420562,0.577580017650017,1.39832557352932,0.396164993206146
3,2.69844838978574,2.07591804259118,1.17984205058449,1.28588744203763
4,3.54058626233179,2.75263308365499,0.934417167163591,1.72347240488429
5,3.6247097809261,2.80337674390956,0.811581685787799,1.80204524674966
6,3.76707946531243,2.89253683152071,0.656793695177346,1.90779382854024
7,3.81616311427469,2.97987085687553,0.643807021682838,2.07783056772516
8,3.90871222514329,2.97438133792371,0.308642025087403,2.07147273696126
9,3.89764744860693,2.891461792918,0.101081917309066,2.02737572916803
10,3.7975858111694,2.6008768493505,0.448193656906005,2.10266949978014
11,3.39016931088765,1.96268912633051,0.797016944979123,2.02913378523232
12,2.6442035075399,1.0567314173877,1.32369762272263,2.24339092873565
13,1.47560984618556,0.204900749946952,2.08766723366385,2.27048923271923
14,1.1450792142657,-0.137528168579959,2.21415812232806,2.32666284477284
15,1.07868612328235,-0.7241121415324,2.06451807500153,2.47068732089985
16,0.579296073863729,-1.55516993331064,2.28357582676707,2.61862820163999
17,-0.319893146342604,-3.04922354529999,2.95496929469676,3.18047896416072
18,-1.77670861374435,-3.44903371650097,3.63608972863837,3.3693424086181
19,-2.88774548541455,-4.31157607449349,3.68351396433995,3.72052972480475
20,-3.56316002676584,-4.90218120025368,3.24309475686027,4.00892642340896
21,-4.88460659892272,-5.25924728782681,2.51591082046198,4.30195085584716
22,-6.00782325833753,-5.58713470347734,3.04788122693899,4.45407179152741
23,-6.25071118208111,-6.24239587231554,3.47089716858831,5.09398288624579
24,-7.54172246521199,-6.65380435507072,4.62194521490823,5.55040973335101
25,-9.01834697071977,-7.08242144773729,5.15854677285049,5.86544676191754
26,-9.97515664031205,-7.26733273011608,5.89880013543639,6.22991256805336
27,-11.0261162224488,-7.78560250801867,6.40133836412636,7.26634229100968
28,-12.624787439328,-8.83682971050418,7.79900386820285,9.30228446960209
29,-14.6919861217377,-9.29054513507845,8.88277298339675,9.31141077010783
30,-17.6854022850487,-10.4928165120565,11.562387213831,11.0254395941477
31,-21.9605739787062,-11.6595786742742,15.7485681990006,12.3718523887059
32,-25.5076939427598,-13.5072773263665,17.1036772317248,14.4675634010317
33,-28.5397636228492,-18.9033258112522,18.4274263797185,20.0716846746506
34,-32.9404031602262,-22.49988434772,19.8033943122153,23.802984265175
35,-37.4987054291287,-24.5928381401178,21.0791766538805,24.7178931873736
36,-41.6863542173756,-29.2651233326479,20.9680797010252,31.1623847442149
37,-47.8932506863,-35.6863950506645,18.7300899783139,39.1070489972009
38,-52.8512749785949,-41.411998643951,17.3867141641319,42.3488450540821
39,-57.1393472936428,-46.6916194648656,16.1338030671091,41.9184689717978
40,-59.7837766909121,-53.5658956282646,15.8373646723047,44.8461990505103
41,-64.0037501637131,-58.2661614559625,17.0835371396619,46.3136137187329
42,-67.88420391935,-63.3704992640234,18.2791657069296,46.6716364332164
43,-73.0693019854412,-67.9253266944432,18.654559704896,45.340236629211
44,-78.578264192811,-72.1649385763301,19.0534860433499,43.658615653418
45,-81.8629334906266,-74.9280465318993,19.0367538273851,42.7503326622468
46,-84.2009318042809,-78.0552710132818,19.7140429842582,42.5798373480879
47,-87.2620866268229,-82.1053696377801,20.8215724117296,41.9640956480683
48,-92.1456193562347,-85.9199079844785,22.3819972006048,42.7781425842935
49,-98.481671593995,-89.8123714378593,21.6559786994691,43.8255292759665
50,-105.087700848308,-91.7423632408548,20.7160149833282,44.0161593103581
51,-106.925074676124,-94.1925986265866,20.0917107403714,43.4002308626049
52,-108.33498992848,-98.0867221879218,19.8757031471943,42.6153112829012
53,-110.90862537662,-101.382038598108,18.6781069634775,42.7573847362457
54,-114.954066213017,-104.231158692729,16.6593716211796,42.7975382677603
55,-119.024372213568,-106.964717416881,15.376761419687,42.8506205615378
56,-122.189584246534,-109.168222656888,14.9196890251297,42.5934359121459
57,-124.190703206023,-110.385566819025,14.9958966044032,41.6576066292697
58,-125.366276811079,-111.60661123408,14.7383794442137,41.2663836753963
59,-125.580165085674,-112.960541114312,14.4936783543626,41.3900346702687
60,-126.247432371285,-114.240587879868,14.1035470643996,41.6078651567393
61,-126.003384865168,-114.609599274027,12.7499293624708,41.5189041202885
62,-125.176904056547,-115.370541598159,10.7309787345611,41.6512199727534
63,-124.371443629409,-115.461290233907,10.3578574749843,41.8761552286273
64,-122.011963631508,-114.634129306995,12.7580357833054,42.0255554387828
65,-117.961570803574,-113.23255119806,18.6337317904469,41.611986570786
66,-116.468354052136,-111.616883310855,20.076294246494,41.074750152828
67,-114.598799434343,-109.31132002762,20.4545311494611,40.656193854593
68,-110.126771395774,-106.047513557305,21.5603209892231,40.2419708232137
69,-107.60281671231,-104.026824116775,23.0012551178767,39.2343571143404
70,-105.57838427222,-99.8503697745156,22.8813426401689,38.034877656797
71,-103.126268448722,-94.1133152632531,23.5163883122371,36.8465182390169
72,-98.4698089756484,-91.9166768334399,23.0977107371155,35.9551734886563
73,-94.6390789313762,-90.3324960193903,21.5176857064312,34.7649341202359
74,-89.8279410313508,-87.0411190541836,19.0659693343619,33.039359123699
75,-87.0410724982684,-82.5545924400966,18.1018924740779,31.4378996387183
76,-86.4088460684685,-79.4860565394704,18.0220166061755,29.8753208147558
77,-83.9481475155731,-74.9694541619629,17.0851195059529,29.850619560092
78,-80.4780132321283,-73.2741336054756,14.753501321779,28.5943106079561
